run,p,n,ktrue,lambda,k,time,objval,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
1,200,500,199,0.6367187500000002,50,0.111531953,298.1797707021024,219.54109183313344,218.13513858732227,218.28960121672674,238.0,62.0,2.514237352820587,16.76774238657711,4.003603052777358,0.9591092539869629
1,200,500,199,0.5585937500000002,100,0.281795158,287.9701105090696,215.57134852107103,212.54592168058775,212.69445414584533,264.0,136.0,2.447547754654787,16.357374592062452,4.024864225670521,0.9284837642482964
1,200,500,199,0.5097656250000002,149,0.30141088,281.16996064444567,213.18215401889293,208.5765799260256,208.7176622357802,318.0,180.0,2.3805806539928955,16.053761177964347,4.010057724963374,0.9077333111426993
1,200,500,199,0.4462890625000002,199,0.491387862,271.69317860342,208.74149439644805,202.60858427461375,202.73267287102772,390.0,208.0,2.2821488061924793,15.557684156394078,3.9515748062961937,0.8786630612416237
1,200,500,199,0.3974609375000002,249,0.786449439,263.760612567187,204.77615358222405,197.12758706576977,197.25593075154418,456.0,242.0,2.200997929293997,15.058123609032512,3.855340821913649,0.8545042662370209
1,200,500,199,0.3574218750000001,298,0.937131141,256.7042950567094,201.1138056926045,191.9461581579296,192.09355859341943,530.0,266.0,2.1277976720690934,14.545642518326806,3.731859913545942,0.8333971267913447
1,200,500,199,0.2871093750000001,348,1.210731417,242.68213261096403,192.02883841474676,181.3793053455323,181.59285044106997,590.0,306.0,1.958612466042267,13.351401006285219,3.3862161472045837,0.7931530246527217
1,200,500,199,0.2197265625000001,398,2.034294166,226.63479341255214,182.5695171078855,170.46593754746834,170.7656650043033,596.0,400.0,1.7416400724253926,11.864012877991861,3.5216041287994493,0.7502318895655928
