run,p,n,ktrue,lambda,factor,k,keff,time,solver,cuts,gap,objval,binding,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
2,200,100,199,0.004673076263842005,0.1,398,398,30.357691478,Gurobi,3,0.0,197.92198978704442,true,258.4251734176235,198.1106823832423,206.72574978353902,390,606,2.6550332932794007,14.216936813439645,4.774895448861224,0.7194392054573544
2,200,100,199,0.004673076263842005,0.1,348,348,23.896651398,Gurobi,6,0.0,198.12407913620436,true,251.0263602873846,198.25571792565964,206.9065921002181,372,524,2.6560089603011545,14.219940087346904,4.7656020961887995,0.7194392054573544
2,200,100,199,0.004673076263842005,0.1,298,298,19.509414638,Gurobi,8,0.0,198.3386370917647,true,243.64001578088636,198.41869656158528,207.11018981589694,358,438,2.6564468908734793,14.222284966514549,4.760958300830614,0.7194392054573544
2,200,100,199,0.004673076263842005,0.1,249,249,16.102415842,Gurobi,10,0.0,198.56081631798156,true,236.4133106126725,198.59522845135035,207.32826068457055,338,360,2.6567567771576996,14.225614111508213,4.756314203247995,0.7194392054573544
2,200,100,199,0.004673076263842005,0.1,199,199,12.282007686,Gurobi,12,0.0,198.80114646569808,true,229.05273826626285,198.7759682569604,207.56318351527912,306,292,2.655802086447876,14.230910480389854,4.747017620399858,0.7194392054573544
2,200,100,199,0.004673076263842005,0.1,149,149,8.799907443,Gurobi,13,2.5914272124061277e-5,199.05998117162576,true,221.71062504407251,198.98561194297528,207.8140315556733,286,212,2.656613812037917,14.234238216639266,4.733073595226812,0.7194392054573544
2,200,100,199,0.004673076263842005,0.1,100,100,6.354927782,Gurobi,14,1.6779912350495252e-5,199.33396348508552,true,214.535768635516,199.21083681814972,208.08095167329193,264,136,2.6570235818554466,14.237885805142986,4.719126889206332,0.7194392054573544
2,200,100,199,0.004673076263842005,0.1,50,50,2.781079061,Gurobi,15,0.0,199.6359854695396,true,207.38885985374677,199.46207050863785,208.38479524551892,252,50,2.6574162895016484,14.239894666549809,4.709960575002728,0.7194392054573544
2,200,100,199,0.04673076263842004,1.0,398,398,229.14576332,Gurobi,17,0.0,180.8292612348504,true,241.332462871698,184.55901276961697,190.44245245866037,434,562,2.4978191196045825,13.721378295388574,5.0200239648145475,0.7194392054573544
2,200,100,199,0.04673076263842004,1.0,348,348,38.391712265,Gurobi,20,0.0,182.72099448863008,true,235.6233061732213,186.16460884572268,192.2285600082269,412,484,2.5191719313093306,13.798115594095554,4.9730179011467035,0.7194392054573544
2,200,100,199,0.04673076263842004,1.0,298,298,53.142296059,Gurobi,27,3.6124908538326395e-5,185.47623489928412,true,230.77743392307184,188.18789477256016,194.75434909149578,336,460,2.559751758711463,13.955688849608686,5.111096198631138,0.7194392054573544
