run,p,n,ktrue,lambda,k,time,objval,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
2,200,450,199,0.6708984375000002,50,0.226424037,302.52299653117194,222.43809764137362,222.84100357479727,221.44885496078223,250.0,50.0,3.013231598591087,18.675847321396464,5.072432793742039,1.1209587846508076
2,200,450,199,0.5742187500000002,100,0.275458347,290.16827005382095,216.90832867369463,215.38786544013794,214.05902586112933,278.0,122.0,2.914999193732415,18.157112533438838,4.870423744613978,1.084203473447428
2,200,450,199,0.5039062500000002,149,0.207048145,280.3623482442068,212.66573283317737,209.27356211032082,208.0264936906679,316.0,182.0,2.8111337660692204,17.697233844688267,4.641259294014767,1.0545041405222886
2,200,450,199,0.4501953125000001,199,0.421563704,272.27800712132955,209.4133421099096,204.14601187863104,202.97268361264588,358.0,240.0,2.720158273750055,17.278412028991724,4.44945938693589,1.029876915895064
2,200,450,199,0.4086914062500001,249,0.627839265,265.59553083502595,206.86968460359404,199.7173837266069,198.63490842365886,400.0,298.0,2.6387656674740674,16.892953387603782,4.281662189014919,1.009560522615066
2,200,450,199,0.3642578125000001,298,0.664072339,257.9163037130217,203.46666788535802,194.49251255294536,193.51923498160053,460.0,336.0,2.537776567723015,16.40031449584907,4.080566597895185,0.986439921276967
2,200,450,199,0.3393554687500001,348,0.863588826,253.32476788623129,202.0392525890321,191.2221246905632,190.30518264236454,520.0,376.0,2.47050637225329,16.069233049174436,3.9525242865914403,0.9728114256542183
2,200,450,199,0.2998046875000001,398,1.097208526,245.49780573301473,198.1670749536567,185.52771292784024,184.6992419705051,556.0,440.0,2.355031807393238,15.450642317724443,3.7331797052125397,0.950092849334138
