run,p,n,ktrue,lambda,factor,k,keff,time,solver,cuts,gap,objval,binding,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
3,200,150,199,0.005755550180469655,0.1,398,398,25.906302197,Gurobi,3,0.0,197.73525746542066,true,239.14654735969384,202.47996901824015,201.36045307322325,510,486,2.270430629030302,13.428504729105303,4.22227929804124,0.6427225389711737
3,200,150,199,0.005755550180469655,0.1,348,348,20.421274062,Gurobi,6,0.0,197.93809357067758,true,234.1469601097824,202.68923061171492,201.57450621422748,462,434,2.2699882047991724,13.438830590560382,4.216564461277156,0.6427225389711737
3,200,150,199,0.005755550180469655,0.1,298,298,17.086058772,Gurobi,9,0.0,198.15534846246643,true,229.16179166062892,202.92541569744833,201.8005465285451,420,376,2.2698240583544274,13.447867967908483,4.210853185036828,0.6427225389711737
3,200,150,199,0.005755550180469655,0.1,249,249,14.30465104,Gurobi,12,0.0,198.38589598845033,true,224.29396424473026,203.14089393398282,202.02823193363213,382,316,2.270323215275974,13.456042065330138,4.193697729383273,0.6427225389711737
3,200,150,199,0.005755550180469655,0.1,199,199,11.753013335,Gurobi,14,0.0,198.64203234602803,true,219.34767729023295,203.3978229521483,202.2911668949865,346,252,2.2702742453433107,13.463785781986195,4.187986618143524,0.6427225389711737
3,200,150,199,0.005755550180469655,0.1,149,149,8.801926501,Gurobi,16,0.0,198.92012099860668,true,214.42334258089278,203.6864542757878,202.58458113359222,306,192,2.271070660851725,13.472377792658982,4.165108900754559,0.6427225389711739
3,200,150,199,0.005755550180469655,0.1,100,100,5.813045346,Gurobi,17,2.5959534119324168e-5,199.2203429306241,true,209.6251193571532,203.9847681675461,202.8981935277438,264,136,2.274725223779394,13.481392948029196,4.159398678355788,0.6427225389711739
3,200,150,199,0.005755550180469655,0.1,50,50,3.486586816,Gurobi,18,1.2574527240238886e-5,199.56088289758125,true,204.7633064736622,204.351278544222,203.26752904307054,236,64,2.279758495995737,13.487407796940648,4.125078450885644,0.6427225389711739
3,200,150,199,0.05755550180469654,1.0,398,398,268.276896642,Gurobi,25,0.0,179.5678137887318,true,220.97912564313665,183.72456679402526,182.50980404651241,552,444,2.0732846566344394,12.575716374441178,4.70200148799441,0.6427225389711737
3,200,150,199,0.05755550180469654,1.0,348,348,88.950767671,Gurobi,31,0.0,181.32330322953294,true,217.53206015848545,185.60817484709642,184.26471473601558,512,384,2.042344135670412,12.674000078220685,4.501585799104353,0.6427225389711737
3,200,150,199,0.05755550180469654,1.0,298,298,301.133904976,Gurobi,143,0.0007043861057298706,183.14639290831445,true,214.15276546224757,187.34571580694742,186.12278554906877,464,332,2.0429267529706525,12.814884124909073,4.538014370606102,0.6427225389711737
3,200,150,199,0.05755550180469654,1.0,249,249,84.86476406,Gurobi,152,0.0,185.13431510258349,true,211.04245661575678,189.29715506240962,188.08849741611834,420,278,2.0693670830853286,12.93344361518489,4.405890723675021,0.6427225389711737
3,200,150,199,0.05755550180469654,1.0,199,199,300.441910048,Gurobi,507,0.0004661900320254153,187.38124863206042,true,208.08707882809705,191.6314744427982,190.29266547014666,372,226,2.094008896709336,13.062708534897778,4.380971162541053,0.6427225389711737
3,200,150,199,0.05755550180469654,1.0,149,149,77.169868405,Gurobi,521,0.0,189.8979233232757,true,205.40105219210227,193.90871447339188,192.76716034780702,322,176,2.122402619058859,13.192073035616241,4.29991679194084,0.6427225389711739
3,200,150,199,0.05755550180469654,1.0,100,100,300.222250175,Gurobi,874,0.00030660601101939466,192.624087560855,true,203.0288979340318,196.71998727410406,195.6136409397753,282,118,2.19110143750242,13.297267480111204,4.220223459632981,0.6427225389711739
3,200,150,199,0.05755550180469654,1.0,50,50,12.203223271,Gurobi,881,0.0,195.80354654161695,true,201.0060586566812,199.9544159982914,198.8749997123672,238,62,2.2408640980256807,13.404043652645395,3.861920139230003,0.6427225389711739
3,200,150,199,0.5755550180469654,10.0,398,398,892.648626906,Gurobi,6,0.4785169897928673,140.38966786904336,true,181.80082436786853,163.47506150222915,164.46749571412784,594,402,2.9838220005874136,8.627230310163613,4.192953812992335,2.5980581443503104
3,200,150,199,0.5755550180469654,10.0,348,348,961.104040994,Gurobi,12,0.45302588334080274,142.42765044397785,true,178.63646735987132,162.14884406322705,162.5699202028199,592,304,2.9784628517261713,8.522556048857801,4.186859259938999,2.582935159397664
