run,p,n,ktrue,lambda,k,time,objval,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
7,200,50,199,0.6093750000000002,50,0.363840637,294.6512799002858,229.74784078609463,216.14077620999268,223.3579109952099,290.0,10.0,2.465432528123099,16.236868714355264,3.916339690807699,0.9216849455710528
7,200,50,199,0.4960937500000001,100,0.343049724,278.84863683651196,233.50323133601123,206.70399701786434,214.1310647320629,366.0,34.0,2.326768527068637,15.429573434781426,3.611132234010773,0.8746368581670628
7,200,50,199,0.4389648437500001,149,0.632319801,269.81634984328934,240.41191488380747,200.6651888630542,208.1821025225779,414.0,84.0,2.2721408046490623,14.8776618317325,3.395073425144192,0.8481001580135236
7,200,50,199,0.3917236328125001,199,0.745160203,261.56546568870283,247.57366407169823,195.01016083221828,202.6231442561854,448.0,150.0,2.2130938192639578,14.320854904931563,3.287518669232857,0.8245107068950043
7,200,50,199,0.3708496093750001,249,0.72537647,257.6328860317202,257.92214323352147,192.29959115315782,199.95129849345383,470.0,226.0,2.1812732467214433,14.037235371468201,3.2452248925532583,0.8135695473226026
7,200,50,199,0.3525390625000001,298,0.774661726,253.89474078524253,268.32131959201786,189.7749325035401,197.33538755204128,484.0,312.0,2.150197701548474,13.770798639849403,3.1859216412667717,0.8036939883666087
7,200,50,199,0.3364257812500001,348,0.800752157,250.37617205606705,278.3421173990504,187.25251746604923,194.90188840243653,490.0,404.0,2.1211563353301854,13.52426739714066,3.134551328765898,0.794779645671439
7,200,50,199,0.3227539062500001,398,0.866229737,247.30045917214255,287.4494531390752,185.34721791019336,193.08554492793456,498.0,484.0,2.095761740068347,13.300622656973779,3.1036225729788365,0.7870456454316397
