run,p,n,ktrue,lambda,k,time,objval,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
8,200,400,199,0.5390625000000002,50,0.357794313,285.47567096911155,213.28609569148372,211.9889255517031,212.66204547718132,300.0,0.0,2.6392377282718003,17.56648220042304,4.249794384001177,1.042222814598472
8,200,400,199,0.4257812500000001,100,0.354691453,268.68192183520375,204.5774309654096,201.42271574931755,201.82153121992025,398.0,2.0,2.4527121066393045,16.603348866276566,3.7327707983310643,0.9905991444781742
8,200,400,199,0.3632812500000001,149,0.634174948,258.0900366619767,198.93764126966892,193.93381719335278,194.14946377413335,496.0,2.0,2.297681176877941,15.840813477683836,3.4349415999950392,0.9584446521910134
8,200,400,199,0.2597656250000001,199,0.590544358,236.94253623433227,184.70674451715303,177.91349312240533,177.8310939954079,592.0,6.0,1.949516701738241,13.985420588611658,2.7257833443318478,0.8981705578794699
8,200,400,199,0.15380859375000006,249,0.888753145,207.57886172996837,167.57923627646412,159.50580250265205,159.02991393140064,598.0,92.0,2.028191634040608,11.69767448341668,3.3607078209095578,1.76060692989428
8,200,400,199,0.13891601562500006,298,0.821085144,202.47792694252416,166.7175118698382,156.94233969394352,156.36110088027823,598.0,194.0,2.355162992460102,11.46053147735273,3.8279919642851374,2.003993178811298
8,200,400,199,0.12927246093750006,348,0.900152985,199.052164463873,166.44232447874595,155.37274382668878,154.72452568590896,598.0,276.0,2.656801409765059,11.356845557498337,4.3345485831888375,2.2415369123072795
8,200,400,199,0.12194824218750003,398,1.132257518,196.25296236312644,166.81651400393855,154.15394344012677,153.48461555349218,598.0,372.0,2.7084225987410857,11.248921052077634,4.30666558029307,2.2447441825675623
