run,p,n,ktrue,lambda,k,time,objval,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
6,200,250,199,0.6689453125000002,50,0.227849627,302.25493393778777,223.50203016851592,221.0061465476611,221.85540747243965,246.0,54.0,2.717924294587818,17.770238511010994,4.1245385000046735,1.044381322388091
6,200,250,199,0.5605468750000002,100,0.225992134,288.29224804968175,218.5415887947735,213.04802519512515,213.65507082254814,292.0,108.0,2.618754734364942,17.183443218439503,4.117809518597464,1.0027611286262865
6,200,250,199,0.5000000000000002,149,0.114029872,279.7638459412501,216.25997041963075,207.76723777023847,208.2257913234765,332.0,166.0,2.5297162668522803,16.771897118145063,4.135572515592561,0.9768954632111843
6,200,250,199,0.4589843750000002,199,0.56642792,273.59230721093604,215.27451444537942,203.71513333788056,204.04842011393072,384.0,214.0,2.453175589076646,16.43886574158381,4.12404301806666,0.9581538300117198
6,200,250,199,0.4140625000000002,249,0.445824801,266.3691911193746,213.2700152115195,198.70570591194326,198.9049925642766,432.0,266.0,2.3537634260779132,16.00190128292865,4.069684341822763,0.9363798094358621
6,200,250,199,0.3784179687500002,298,0.806762184,260.21250269696395,211.75425297686527,194.2634704269947,194.35344952425868,484.0,312.0,2.2669859635106584,15.587184096377015,3.993816751500658,0.9180927710397355
6,200,250,199,0.3452148437500001,348,1.075142009,254.06088188712215,210.18205082373726,189.70955399124935,189.71778947209364,524.0,372.0,2.180543405107295,15.132468941656338,3.891530569076874,0.9001864492970887
6,200,250,199,0.3066406250000001,398,1.210660041,246.30410084428306,207.36825008268607,183.97770300600936,183.88215699543485,568.0,428.0,2.0665019650280407,14.50871942800198,3.7263808608515827,0.8782407546910049
