run,p,n,ktrue,lambda,k,time,objval,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
9,200,250,199,0.6933593750000002,50,0.127610842,305.1681600201166,224.6604580881682,218.99786177070698,221.5486186648863,250.0,50.0,2.415642044346317,16.3370634420293,3.419968266334277,0.9199682663342774
9,200,250,199,0.5976562500000002,100,0.218727658,293.0842310075816,220.4218128676881,211.6857517844957,214.14436473338878,294.0,106.0,2.339505011752724,15.843854135354128,3.3507409737663467,0.8845934951112477
9,200,250,199,0.5449218750000002,149,0.404093657,285.8889170990508,218.71291099876194,206.97830029295702,209.35564302701937,348.0,150.0,2.281886101431045,15.50768483718618,3.2400323219854634,0.8632284439086909
9,200,250,199,0.4970703125000002,199,0.611569429,278.9153272576082,216.71647653246677,201.96900734546745,204.25439432218025,400.0,198.0,2.216886873754767,15.132746210930907,3.14164949939342,0.8425390674186113
9,200,250,199,0.4589843750000002,249,0.752862454,272.9829342970018,215.15585522471787,197.38516480957287,199.59419894010028,464.0,234.0,2.1551775825900323,14.770034395074276,3.0877557381499763,0.8251020656607646
9,200,250,199,0.4252929687500002,298,1.006673001,267.3808202602877,213.4862992396742,192.72759525986584,194.88995666495282,512.0,284.0,2.0951867685100583,14.38468449648155,3.0311837802248833,0.8089002250678344
9,200,250,199,0.3911132812500002,348,0.995163535,261.28814863242127,211.39346316135462,187.57555531140036,189.72542404058606,540.0,356.0,2.029236325602814,13.932778173158017,2.9574308041725907,0.791661646678177
9,200,250,199,0.3597412109375001,398,1.534890508,255.2736565637481,209.4127134884771,182.52878712023488,184.67789457778318,562.0,434.0,1.9641038875559476,13.458911581479638,2.875141674978647,0.7750763050187712
