run,p,n,ktrue,lambda,k,time,objval,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
1,200,50,199,0.6972656250000002,50,0.20809037,305.6075054806796,235.99442508855225,226.11617387765796,226.75374209019003,242.0,58.0,2.544359017512444,17.039964605716257,4.11329421078029,0.9809048053435545
1,200,50,199,0.6074218750000002,100,0.214235082,294.33289935138714,243.82356829468057,219.98541486321406,220.54300190120873,282.0,118.0,2.4781872710237707,16.593843283530436,4.052170594640661,0.9479735579914634
1,200,50,199,0.5487670898437502,149,0.368066476,286.39672364565024,252.75442129499075,215.32835714444337,215.8180469346063,324.0,174.0,2.413313902736533,16.23321576937729,4.028566213837881,0.9244128974260684
1,200,50,199,0.4990234375000001,199,0.771165863,279.19003108278986,262.0622528187022,210.983789101224,211.3863089482396,356.0,242.0,2.3474521215510764,15.869984050427403,3.9847052302259933,0.9029867970746618
1,200,50,199,0.45801544189453136,249,0.924558275,272.83606685321604,271.7044723103925,207.0364923942878,207.39233565414793,406.0,292.0,2.2865737246657565,15.516010240399687,3.911177801342907,0.8842239821172143
1,200,50,199,0.4296875000000001,298,0.778109687,268.17703162833186,282.0285949204072,204.03024159989496,204.32303284532037,442.0,354.0,2.238756879957448,15.229038059824678,3.838950058191418,0.8706342223607907
1,200,50,199,0.4072265625000001,348,0.994893081,264.2900212474855,293.0546624389576,201.46747214011756,201.7061057410658,466.0,430.0,2.1979873895661766,14.973952008836138,3.7683189726205604,0.8594701476251979
1,200,50,199,0.3904418945312501,398,1.763353308,261.2540986949929,304.6735541874234,199.5398560261264,199.69799409023585,472.0,524.0,2.1675559713277375,14.769645595659858,3.7089244690057637,0.8508919531943897
