run,p,n,ktrue,lambda,factor,k,keff,time,solver,cuts,gap,objval,binding,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
6,200,550,199,7.213798249435797,100.0,398,398,1662.876784575,Gurobi,5,7.347802442057551e97,136.09511250277674,false,148.41046236907047,142.816603271176,143.25044628085422,598,398,24.662383856621478,31.394741277165963,41.6616179381048,20.627516386535905
6,200,550,199,7.213798249435797,100.0,348,348,1554.539110918,Gurobi,10,7.319241886683744e97,136.6261718743507,false,147.38910533707806,142.24873010754936,142.77495572353388,598,298,24.68534000688349,31.45126561145091,41.688048181614015,20.64010938299512
6,200,550,199,7.213798249435797,100.0,298,298,1731.447195521,Gurobi,15,7.287915362981163e97,137.21344859182673,false,146.4141450497311,141.643531984902,142.15505289513695,598,198,24.794531991870397,31.567003428393672,41.75201793866027,20.7119738450521
6,200,550,199,7.213798249435797,100.0,249,249,1417.800336921,Gurobi,19,7.252464152648073e97,137.88416998033318,false,145.57035797066072,140.968244312247,141.40182575144905,598,100,24.940524536694788,31.751608276000393,41.98153010200718,20.819693379898414
6,200,550,199,7.213798249435797,100.0,199,199,712.155587174,Gurobi,22,2.1820411504680646,138.71174960314562,false,145.01025715692825,140.62211534909397,140.86600788476792,596,2,26.3737667597095,32.93804009060187,44.79504005329974,22.119211115665465
6,200,550,199,7.213798249435797,100.0,149,149,373.384189599,Gurobi,29,1.6377135441136095,144.39992270169444,false,149.41989203257802,147.34597053119901,147.68922115101225,498,0,26.025867164140834,33.06401909707945,44.05221329861907,21.794081352392276
6,200,550,199,7.213798249435797,100.0,100,100,371.769410897,Gurobi,33,1.1187797914795155,152.96781082718022,false,156.0975803076347,155.22381133391374,155.0928349778791,400,0,26.259855985136834,33.856883245944964,44.44458444012478,21.98299606590437
6,200,550,199,7.213798249435797,100.0,50,50,342.03864789,Gurobi,41,0.6282690045247183,166.77626585738713,false,168.3279952615927,169.1908336778131,168.20395690858854,300,0,18.671224510627958,25.83725195032421,31.82649636753029,15.77087115102892
