run,p,n,ktrue,lambda,factor,k,keff,time,solver,cuts,gap,objval,binding,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
2,200,300,199,0.006399368558219338,0.1,398,398,30.509314706,Gurobi,3,0.0,197.2764397981081,true,218.9016602204267,204.03521905915193,200.9153793373402,414,582,2.656624094035989,14.199654715795015,4.788670484786453,0.7194392054573546
2,200,300,199,0.006399368558219338,0.1,348,348,23.727010064,Gurobi,6,0.0,197.53217907534838,true,216.4406632646293,204.298573856296,201.17155121921658,386,510,2.656658731586701,14.206048710763735,4.782321978614033,0.7194392054573546
2,200,300,199,0.006399368558219338,0.1,298,298,19.838582179,Gurobi,9,0.0,197.80799435786963,true,213.9997422393584,204.58361094320426,201.44443362644571,360,436,2.655199825533541,14.211992375040877,4.782333822260154,0.7194392054573546
2,200,300,199,0.006399368558219338,0.1,249,249,17.953837211,Gurobi,11,0.0,198.0993270044623,true,211.62867356010673,204.89355818815957,201.7384121206598,332,366,2.6516676813074445,14.218386777626021,4.782350383675446,0.7194392054573546
2,200,300,199,0.006399368558219338,0.1,199,199,13.38628424,Gurobi,14,0.0,198.41456569879335,true,209.2271759569289,205.21162652726647,202.05329205170267,312,286,2.651703778870255,14.22297469594462,4.756957150494751,0.7194392054573546
2,200,300,199,0.006399368558219338,0.1,149,149,9.445573005,Gurobi,16,0.0,198.75508165353494,true,206.8509556623215,205.56535916345706,202.39921701321856,298,200,2.649986431318592,14.226214173680264,4.73155459061609,0.7194392054573546
2,200,300,199,0.006399368558219338,0.1,100,100,6.357660414,Gurobi,17,3.046637331460822e-5,199.11641386674123,true,204.549886525039,205.95292641966057,202.764678434772,266,134,2.653196896762615,14.233487419074288,4.706137982655181,0.7194392054573546
2,200,300,199,0.006399368558219338,0.1,50,50,2.91096328,Gurobi,18,1.4081095719653547e-5,199.52383910760048,true,202.24057562904815,206.40088317838163,203.18649482276012,246,54,2.6575956721443945,14.238057274014952,4.731986802794453,0.7194392054573546
2,200,300,199,0.06399368558219337,1.0,398,398,307.899222924,Gurobi,19,0.0017364301004888505,176.43386844587837,true,198.05917995999027,182.61339017795595,180.1517646610039,506,490,2.3941356989970375,13.285443684140105,4.990147147083192,0.7194392054573544
2,200,300,199,0.06399368558219337,1.0,348,348,322.320144287,Gurobi,36,0.0011792366189958825,178.5134099155297,true,197.42203841795975,184.6476718765384,182.15568742547606,492,404,2.4229351256975513,13.398445409378239,4.830927854406161,0.7194392054573544
2,200,300,199,0.06399368558219337,1.0,298,298,314.779795519,Gurobi,63,0.0014280310692343923,180.59023525101307,true,196.7818154737598,186.65163110089438,184.1848669853943,418,378,2.4157874256107177,13.568171650774493,4.849927597033792,0.7194392054573546
2,200,300,199,0.06399368558219337,1.0,249,249,54.46152742,Gurobi,70,0.0,183.1493201221183,true,196.67860032646948,189.31469025951012,186.71276281625993,414,284,2.4550422177617732,13.643783594302716,4.5957867004563715,0.7194392054573546
2,200,300,199,0.06399368558219337,1.0,199,199,114.117299366,Gurobi,80,0.0,185.78783759716927,true,196.600617446142,191.86407998678396,189.2401933770051,326,272,2.4732646343255813,13.861169981217854,4.804938315851367,0.7194392054573546
2,200,300,199,0.06399368558219337,1.0,149,149,82.940200512,Gurobi,98,0.0,188.42334545975652,true,196.51909231860952,194.38752371190844,191.84766791224462,312,186,2.4905946848762075,13.933663170585309,4.621413542926048,0.7194392054573546
2,200,300,199,0.06399368558219337,1.0,100,100,91.650932058,Gurobi,129,3.266582978744825e-5,191.6784712151456,true,197.1120058676159,197.802514604704,195.09623921071628,280,120,2.559177699735925,14.037552663463911,4.526020851259142,0.7194392054573546
2,200,300,199,0.06399368558219337,1.0,50,50,300.306534732,Gurobi,658,5.8943360088936636e-5,195.4657705273479,true,198.18237709975986,201.89531477870628,198.96113412097216,248,52,2.6028505365175145,14.130194023166496,4.81657604899532,0.7194392054573546
2,200,300,199,0.6399368558219337,10.0,398,398,442.099430437,Gurobi,5,0.4292604807869227,142.6194736447028,true,164.2448276381586,158.04044678918711,156.4735901218385,596,400,3.7598297835922825,10.565610833931483,6.161024208755089,3.12982262525006
2,200,300,199,0.6399368558219337,10.0,348,348,855.335720434,Gurobi,11,0.43331026997430844,143.6386888724973,true,162.54713698685487,157.20871832309646,155.413517858488,596,300,3.911890891791097,10.657786614263184,6.524416811650701,3.2349787543374897
2,200,300,199,0.6399368558219337,10.0,298,298,870.747371508,Gurobi,16,0.43778306248816934,144.78142579382347,true,160.97331338593622,155.71466320224425,154.13343148412702,596,200,3.9094306641813295,10.623108082333586,6.523736543098486,3.231945105807531
2,200,300,199,0.6399368558219337,10.0,249,249,795.954338261,Gurobi,22,0.39450665917356764,146.51552694143385,true,160.0447378460594,155.2554933188067,153.56457087647382,594,104,3.7587059772094857,10.153716415636081,6.242565109541129,3.1052992504289327
2,200,300,199,0.6399368558219337,10.0,199,199,604.410546861,Gurobi,27,0.33912199804926446,149.3267291598144,true,160.1392066649436,155.4179722291716,154.13181418064357,576,22,3.0954444804347796,9.446540338257561,5.053695418151264,2.434200571575794
2,200,300,199,0.6399368558219337,10.0,149,149,386.953957614,Gurobi,32,0.2001467002053997,154.60507529214914,true,162.70079640229199,161.52320628026624,159.694764613042,488,10,3.0615201442116806,10.672778150341278,5.033645090989838,2.4141502444143677
