run,p,n,ktrue,lambda,k,time,objval,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
1,200,350,199,0.6406250000000002,50,0.088686806,298.6785872595143,220.52014610942325,220.54072796138698,219.15706210869428,238.0,62.0,2.517840857543891,16.78815552834003,4.012797216803257,0.9605639647495494
1,200,350,199,0.5546875000000002,100,0.262502626,287.4505252869641,216.64855438461802,214.15756578221004,212.9423314347443,276.0,124.0,2.4430627230189335,16.333128738697805,4.017698391550321,0.9268716938713489
1,200,350,199,0.4980468750000001,149,0.465750305,279.49291076008365,214.16206655902593,209.26778902110613,208.19744979069637,320.0,178.0,2.362952322392885,15.967462186998386,3.9943895271672343,0.9025519202968271
1,200,350,199,0.4482421875000001,199,0.645346735,272.01130553687585,211.58438214741534,204.32302409570008,203.3685660284425,392.0,206.0,2.283724997240962,15.566654162606483,3.9543629328989907,0.8795955288249436
1,200,350,199,0.3906250000000001,249,0.477252021,262.59889034054936,207.1812604092207,197.61100137765226,196.80664746872466,464.0,234.0,2.188857476570007,14.96755132022595,3.8429746726543885,0.8509866506778534
1,200,350,199,0.3486328125000001,298,1.114135935,255.0707766735577,203.76414390969367,191.92503336321883,191.23958204263053,536.0,260.0,2.1148019771045514,14.406112882646347,3.724511610906373,0.8285961015724177
1,200,350,199,0.3032226562500001,348,1.573505106,246.09862028062605,199.18283623403298,185.03651272993318,184.45812623916206,586.0,310.0,2.007847771488562,13.649821810400093,3.5249169774007525,0.8027591867874091
1,200,350,199,0.23315429687500006,398,2.464559381,230.03379856266545,189.95848135093172,173.59135855647088,173.2018787357684,594.0,402.0,1.7939935902158533,12.180159524176373,3.51890783328658,0.7591592452692013
