run,p,n,ktrue,lambda,k,time,objval,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
4,200,500,199,0.6835937500000002,50,0.188097179,304.01105876290256,222.57216699581366,219.73648161379265,220.0257866090048,254.0,46.0,2.655185888095889,17.39582290219912,4.0130645259241104,1.013064525924111
4,200,500,199,0.5849609375000002,100,0.240977252,291.4475951431432,216.54621946828507,212.20488716032355,212.33100149629018,288.0,112.0,2.57678703919765,16.87461351584932,3.902454530180372,0.9761016674783064
4,200,500,199,0.5314941406250002,149,0.427273215,284.07182576332445,213.40300041607864,207.546720972741,207.58792015973464,312.0,186.0,2.5173699424977163,16.53907387162815,3.7780170126938737,0.9540749255190307
4,200,500,199,0.4785156250000001,199,0.498046453,276.2622661782179,209.83091107409825,202.45074246618748,202.4216994584283,352.0,246.0,2.4477080656246435,16.150901145414437,3.7987753019781803,0.9306780142634158
4,200,500,199,0.4388427734375001,249,0.802739056,270.01275336002936,207.05344596026904,198.1459771821408,198.08298655937264,408.0,290.0,2.386384887091691,15.799303417867831,3.788274692605358,0.9120290739524649
4,200,500,199,0.4130859375000001,298,0.67832012,265.731616307772,205.49148897084936,195.03777684998894,194.97040685199977,456.0,340.0,2.3413764861641635,15.532451264165019,3.778276876215618,0.8993609997871477
4,200,500,199,0.3845214843750001,348,1.066694978,260.7360931047431,203.2422677933916,191.23289321890792,191.16065290930015,512.0,384.0,2.289552653554711,15.188373239310074,3.751346291550902,0.8847608389523766
4,200,500,199,0.3500976562500001,398,1.318659487,254.30720965051512,199.78288370685834,186.24033649612912,186.1818123971835,550.0,446.0,2.228278685768626,14.705566677492211,3.686115324857692,0.8663448823851774
