run,p,n,ktrue,lambda,k,time,objval,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
3,200,300,199,0.5039062500000002,50,0.41356597,280.84140482748944,212.91751306192361,214.53638663125338,211.8420382129907,300.0,0.0,2.4588154516528817,16.833898682140056,3.8886777113121225,0.9777874740361079
3,200,300,199,0.4130859375000001,100,0.460778438,267.37300387025493,207.58277007012398,206.43017483008288,203.6753669749737,400.0,0.0,2.3415235960187353,16.071638783236235,3.5357613008972737,0.9350514954328175
3,200,300,199,0.3461914062500001,149,0.729218529,256.16017920677194,202.38047089790996,198.54936945663476,195.77379196699624,498.0,0.0,2.24772376678593,15.263226044788322,3.2185740601250177,0.8998861225765409
3,200,300,199,0.2578125000000001,199,0.462674793,238.49349532515762,191.79637891531502,185.04656279422278,182.32186930850253,592.0,6.0,2.0622517163244676,13.718129158123366,2.7952645756401227,0.8934526486208321
3,200,300,199,0.16992187500000006,249,0.671289973,215.72602505476226,179.3759865853146,170.35875188490652,167.49028691411263,598.0,98.0,2.1978767082599284,11.780676864145288,3.484976238580966,2.0492062074083224
3,200,300,199,0.15682983398437506,298,0.895541974,211.71247308465283,179.4670814661157,168.19045994554602,165.3234656872172,598.0,192.0,2.4233851971748255,11.48269597508698,3.756089871756277,2.2455348812205953
3,200,300,199,0.14672851562500006,348,0.828191129,208.47101653110624,179.70174762820443,166.52735442186275,163.7108443002068,598.0,274.0,2.6440228989581356,11.267381419619953,4.101578107374792,2.444285288935551
3,200,300,199,0.13955688476562506,398,0.862837384,206.1061971594791,180.73823688424008,165.44379874721233,162.60266985453356,598.0,366.0,2.8670451419318184,11.129800097089909,4.4538052600163285,2.6347944549958715
