run,p,n,ktrue,lambda,k,time,objval,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
1,200,200,199,0.6503906250000002,50,0.12966086,299.8958391248934,222.78576665803314,221.19783599098548,220.79094746270374,240.0,60.0,2.523307720959557,16.835166286350077,4.001848793827361,0.9641706145100454
1,200,200,199,0.5673828125000002,100,0.309190325,289.15730597905923,220.73606155008642,215.14758309456278,214.82024290404286,282.0,118.0,2.4544152457896082,16.40175996929254,3.9954093662579377,0.932081543743764
1,200,200,199,0.5017089843750002,149,0.347450873,279.9836095551121,218.9404623956433,209.46583700099936,209.2544288010942,338.0,160.0,2.3635897646214765,15.97475551753213,3.980189556763619,0.9041797918314796
1,200,200,199,0.4492187500000001,199,0.463790993,272.076031073353,217.58649324692794,204.20396214129022,204.12824189740041,398.0,200.0,2.276944930399402,15.544152985811207,3.9382677196199496,0.8800608200954614
1,200,200,199,0.4011230468750001,249,0.912824496,264.2381301428966,215.82218357755374,198.60692058961507,198.6606864908594,464.0,234.0,2.1882707796157885,15.043852465962713,3.8439668044338533,0.8563745838220609
1,200,200,199,0.3564453125000001,298,1.00033962,256.2926124385685,213.56413158969423,192.66343116641787,192.78971602128246,530.0,266.0,2.1040818591644235,14.457765711487026,3.701801309124943,0.8328667519551445
1,200,200,199,0.3066406250000001,348,1.286605517,246.45905926033294,209.86504114601163,185.29200569528726,185.45139324706653,572.0,324.0,1.9875685997633366,13.645308736998413,3.464139739325861,0.804766399086513
1,200,200,199,0.2602539062500001,398,1.614976136,236.1302322561176,206.1360112984729,177.96333019566546,178.14465196491327,584.0,412.0,1.862127829747187,12.730857095657397,3.2997954522189765,0.7765968792714218
