run,p,n,ktrue,lambda,k,time,objval,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
8,200,350,199,0.5478515625000002,50,0.469572602,286.68470533431497,214.30045183245127,211.4291619815424,213.67674436175474,300.0,0.0,2.6529383076862803,17.62824542086025,4.288313858766772,1.0459122251574882
8,200,350,199,0.4257812500000002,100,0.428538432,268.6454732404843,205.0017430933274,200.22886966017185,201.9814313508113,398.0,2.0,2.4476770162394215,16.59697199146207,3.728598759704366,0.9905991444781744
8,200,350,199,0.3598632812500001,149,0.664485845,257.4187711160243,199.1357829851107,192.47561166311374,193.83221619610487,496.0,2.0,2.2833054172618144,15.783908494019677,3.3824690725701156,0.9566009644039017
8,200,350,199,0.2656250000000001,199,0.449648764,238.1828508462406,186.57853085730983,178.17952867259106,178.9025781701891,594.0,4.0,1.9661463755199058,14.099001175666734,2.7278392562588096,0.9018455507017495
8,200,350,199,0.16326904296875006,249,0.891971648,210.45474819390628,170.41944759691916,160.81830859175818,160.73692161311178,598.0,98.0,1.8454247566649724,11.885009078022902,2.9135927128049683,1.5808756102730932
8,200,350,199,0.14794921875000006,298,0.882784511,205.3955524086174,169.4794084913388,158.20519575594767,158.0346478860594,598.0,188.0,2.2394744624363487,11.611016966454505,3.575864838300282,1.8903255499133351
8,200,350,199,0.13793945312500006,348,0.978076831,201.87066216158672,169.51686762785448,156.4878386083965,156.23952565551878,598.0,282.0,2.4016947674283777,11.44418414790362,3.7523421715867356,2.0053951287343845
8,200,350,199,0.13110351562500006,398,0.968348706,199.34857405266243,170.25759527101624,155.41406513844277,155.06641354317458,598.0,380.0,2.5582192812409588,11.341177215039801,3.9820558719276824,2.1278384961467776
