run,p,n,ktrue,lambda,k,time,objval,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
1,200,200,199,0.5390625000000002,50,0.372237815,285.6052441944354,216.14501054430843,214.66395403015065,214.32252992473042,300.0,0.0,2.3745370085955364,16.20470224400781,3.881314799972342,0.9203415813799579
1,200,200,199,0.4414062500000001,100,0.320457644,271.4785188001134,211.17155623225665,205.8390932246879,205.69680757723802,400.0,0.0,2.254621827279386,15.415941649083686,3.6413987222750723,0.8763208366039822
1,200,200,199,0.3798217773437501,149,0.780768211,261.42402831619705,207.58051581734992,198.53928089481641,198.53030409829523,498.0,0.0,2.1485428035048986,14.698830891264738,3.426646951128985,0.8453564963505916
1,200,200,199,0.2597656250000001,199,0.524198133,237.1831408238744,192.37250173166768,179.98179567269077,180.07189351393717,584.0,12.0,1.8484232137592713,12.62396726133962,2.7229893526003357,0.9345784037855056
1,200,200,199,0.19726562500000006,249,0.825840817,221.06161760754088,184.7378567583149,169.24208835888626,169.43345417493472,596.0,94.0,1.9719992198401657,11.24799258308675,3.0590642496964167,1.846995280658796
1,200,200,199,0.18408203125000006,298,0.752181394,217.2141932317657,185.59514848268338,166.95234697460788,167.20146918381732,596.0,184.0,2.2923571341689333,10.975612792186789,3.5721351399491637,2.12876123211314
1,200,200,199,0.17410278320312506,348,1.033871271,214.14393991264393,186.29742143808818,165.24727583042667,165.48576880826226,598.0,256.0,2.5594675181329776,10.78239147002778,4.027912899940278,2.3608340122384845
1,200,200,199,0.16668701171875006,398,0.96111187,211.71135862098123,188.86172508928158,163.85311494465998,164.1663545689575,598.0,366.0,2.6076602658394235,10.616628792399235,3.9958096519548163,2.4071836454561177
