run,p,n,ktrue,lambda,factor,k,keff,time,solver,cuts,gap,objval,binding,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
3,200,50,199,0.003811447102672154,0.1,398,398,24.336048805,Gurobi,2,0.0,198.421810417367,true,313.91072602608733,201.68122087361363,209.0162159262314,422,574,2.273703478181405,13.463602648865749,4.195653527467919,0.6427225389711737
3,200,50,199,0.003811447102672154,0.1,348,348,18.278036287,Gurobi,4,0.0,198.57657353496123,true,299.55683140517954,201.76442847971268,209.10333652092592,408,488,2.2733612058869648,13.465601541499181,4.184265899182051,0.6427225389711737
3,200,50,199,0.003811447102672154,0.1,298,298,15.674905349,Gurobi,6,0.0,198.73834352982988,true,285.2099436533289,201.84025208395624,209.18989915791377,390,406,2.2724299107803483,13.468165996022737,4.180470315225249,0.6427225389711737
3,200,50,199,0.003811447102672154,0.1,249,249,12.589875637,Gurobi,7,2.430231006922412e-5,198.90499301327725,true,271.15807820477335,201.93455507470483,209.28902253525987,362,336,2.273049858458968,13.47214542145081,4.180471851256093,0.6427225389711737
3,200,50,199,0.003811447102672154,0.1,199,199,9.791267137,Gurobi,8,2.009486272103178e-5,199.08329268794856,true,256.827719671635,202.06782822141082,209.4278167011435,344,254,2.2739288259771016,13.474709599045106,4.180474855679854,0.6427225389711737
3,200,50,199,0.003811447102672154,0.1,149,149,7.158758428,Gurobi,9,1.4915370539325679e-5,199.2724316437317,true,242.50820217284706,202.23169743187475,209.60084998944166,322,176,2.275184067800153,13.477838325288818,4.1576970164295215,0.6427225389711737
3,200,50,199,0.003811447102672154,0.1,100,100,5.524458019,Gurobi,10,1.1148768214064297e-5,199.4737440741526,true,228.49105971026802,202.43748864906811,209.80852656627079,276,124,2.276658686692247,13.484356273581934,4.14630884454271,0.6427225389711737
3,200,50,199,0.003811447102672154,0.1,50,50,3.247849504,Gurobi,11,6.12266170096909e-6,199.707203111861,true,214.21586091055312,202.65043313630923,210.04852516740908,234,66,2.2800582501867575,13.490307977100864,4.131124545872065,0.6427225389711739
3,200,50,199,0.03811447102672154,1.0,398,398,112.380070428,Gurobi,10,5.717600263466238e-6,184.9110514721145,true,300.3999881890803,191.19585279123694,197.86547625998955,430,566,2.1598591619959002,13.128984013900737,4.523526649374496,0.6427225389711737
3,200,50,199,0.03811447102672154,1.0,348,348,247.772322099,Gurobi,38,0.0,186.37261078407752,true,287.35271008549586,192.12793750526976,198.69502796848647,412,484,2.1580844684447578,13.160920790283315,4.4911075199787405,0.6427225389711737
3,200,50,199,0.03811447102672154,1.0,298,298,275.991333235,Gurobi,63,8.849965389190473e-6,187.89223564214961,true,274.36379981475426,192.70535306547637,199.3984148017998,396,400,2.1658958137208866,13.188968689496889,4.458710874665472,0.6427225389711737
3,200,50,199,0.03811447102672154,1.0,249,249,46.890504546,Gurobi,69,0.0,189.53220403067405,true,261.78530561668055,193.68363009739912,200.58778905014717,378,320,2.1873377685561075,13.221518104284531,4.392736482539905,0.6427225389711737
3,200,50,199,0.03811447102672154,1.0,199,199,119.112328363,Gurobi,88,0.0,191.16132195564435,true,248.90564455973086,194.69980931852353,201.51866318063716,352,246,2.1919884661591387,13.262947503867602,4.3964352396197945,0.6427225389711737
3,200,50,199,0.03811447102672154,1.0,149,149,108.169893618,Gurobi,107,2.9478006171479443e-5,192.96263012399623,true,236.1983792703464,196.12058169100882,202.92495237062462,326,172,2.209410521711809,13.3048153134397,4.254891842206478,0.6427225389711737
3,200,50,199,0.03811447102672154,1.0,100,100,11.717272647,Gurobi,110,0.0,194.90470190898958,true,223.92201918379254,197.98119670355382,204.84062317381753,268,132,2.2299027044175914,13.390946458664878,4.184902086868783,0.6427225389711737
