run,p,n,ktrue,lambda,factor,k,keff,time,solver,cuts,gap,objval,binding,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
8,200,150,199,0.005185125945523467,0.1,398,398,30.499639302,Gurobi,3,0.0,197.78396693297466,true,239.19525683472946,199.72843380020709,200.89150983671215,420,576,2.461421529658894,13.932461288716118,4.160642046568055,0.6919690074918776
8,200,150,199,0.005185125945523467,0.1,348,348,23.569870945,Gurobi,6,0.0,198.00272982351404,true,234.211596383726,199.94217914147004,201.10802547232842,402,494,2.4619774219004804,13.935859460139506,4.165854318398148,0.6919690074918776
8,200,150,199,0.005185125945523467,0.1,298,298,19.811589363,Gurobi,9,0.0,198.23260421765104,true,229.23904740747827,200.19283873644488,201.34152267663194,374,422,2.4619426130027846,13.941116559964543,4.160696383980468,0.6919690074918776
8,200,150,199,0.005185125945523467,0.1,249,249,16.491152892,Gurobi,11,0.0,198.4698178491579,true,224.37788612707305,200.41742661984497,201.5634396704958,350,348,2.46205009403951,13.945624998794067,4.160696664197056,0.6919690074918776
8,200,150,199,0.005185125945523467,0.1,199,199,14.247128629,Gurobi,13,0.0,198.7255707421981,true,219.4312156921403,200.70389523840473,201.82456851673328,324,274,2.4625405225092964,13.95050439089968,4.1606969429523915,0.6919690074918776
8,200,150,199,0.005185125945523467,0.1,149,149,9.43461429,Gurobi,15,0.0,198.99833543817388,true,214.5015570132789,201.01546565129743,202.11210684690457,308,190,2.463802424278657,13.95352372144668,4.165908953716644,0.6919690074918776
8,200,150,199,0.005185125945523467,0.1,100,100,5.711872604,Gurobi,16,1.863718136030368e-5,199.28511341050407,true,209.68996029350663,201.3203863806932,202.38968448542798,288,112,2.4640173345792973,13.95728175186437,4.165908949992579,0.6919690074918776
8,200,150,199,0.005185125945523467,0.1,50,50,2.917748353,Gurobi,17,9.149764683469286e-6,199.61009548513215,true,204.81251894859776,201.66695333469443,202.72329341419845,250,50,2.468410627709919,13.964379146996126,4.191969007491878,0.6919690074918776
8,200,150,199,0.05185125945523467,1.0,398,398,313.948842066,Gurobi,27,0.0008545526275474113,179.63123976784607,true,221.04255555678913,180.79718053231647,182.77433897762134,474,522,2.283297546685252,13.321539149117616,4.518832007713431,0.6919690074918774
8,200,150,199,0.05185125945523467,1.0,348,348,296.076717863,Gurobi,56,0.0,181.5229140199504,true,217.73162500427617,182.69605951168444,184.6369240085045,440,456,2.3079988195791747,13.413147092301624,4.5005850128621026,0.6919690074918774
8,200,150,199,0.05185125945523467,1.0,298,298,35.120511314,Gurobi,59,0.0,183.82154145369455,true,214.82781169808248,184.8496087380195,186.76383901537608,436,360,2.330323507218384,13.465682181406036,4.3193714793444675,0.6919690074918776
8,200,150,199,0.05185125945523467,1.0,249,249,36.881266496,Gurobi,63,2.784623739582326e-5,185.96236860458183,true,211.87046692597957,186.74775672215927,188.85527319705443,364,334,2.341805502146612,13.608204882923864,4.277838550579952,0.6919690074918776
8,200,150,199,0.05185125945523467,1.0,199,199,38.973128473,Gurobi,68,3.756225662365775e-5,187.95185747471803,true,208.65750460176514,188.9462714067587,190.8658686752707,350,248,2.347876415029032,13.653544382467032,4.242284713830586,0.6919690074918776
8,200,150,199,0.05185125945523467,1.0,149,149,15.999664701,Gurobi,71,0.0,190.5404273340764,true,206.0434736802344,191.76237827763478,193.44350714672086,324,174,2.378018629838131,13.718273557618035,4.025160363165574,0.6919690074918776
8,200,150,199,0.05185125945523467,1.0,100,100,123.756395165,Gurobi,111,0.0,193.14148723073419,true,203.54651959833208,194.54644736278667,196.0551207571315,296,104,2.3850550820802594,13.78103353375271,3.9193061399702778,0.6919690074918776
8,200,150,199,0.05185125945523467,1.0,50,50,30.78585896,Gurobi,127,0.0001221711028075445,196.23794556990993,true,201.44037099138683,197.82203363415294,199.178570843999,252,48,2.4391713337349,13.871501230139,4.137436384587803,0.6919690074918776
8,200,150,199,0.5185125945523468,10.0,398,398,1228.314954493,Gurobi,5,0.43718805619951695,134.79241676732642,true,176.2035721218164,155.37525965835533,156.90576016709483,594,402,2.6167960049064822,8.936037150399414,4.061100456836636,2.210391989999926
8,200,150,199,0.5185125945523468,10.0,348,348,887.716206295,Gurobi,10,0.41354393043166604,136.99179012308156,true,173.20052799266037,153.12321439180056,155.10406265362917,594,302,2.619938554037917,8.755066354210966,4.116242573557817,2.196821928964714
8,200,150,199,0.5185125945523468,10.0,298,298,361.989867931,Gurobi,13,0.42524490244990765,139.78069466658462,true,170.78701352079747,151.75005559952672,153.78204832996693,594,202,2.2640929507869534,8.31675271207502,3.3971016133851504,1.8525993352446402
8,200,150,199,0.5185125945523468,10.0,249,249,813.30066171,Gurobi,18,0.4058197436780109,142.9540069441546,true,168.86193985026313,150.3492442953754,152.36864897003736,590,108,2.2459334282429633,7.954023444429591,3.465890943121493,1.7992775921503719
8,200,150,199,0.5185125945523468,10.0,199,199,793.873269221,Gurobi,23,0.350226487026186,147.09013169609665,true,167.7956315018832,151.034228446283,153.07698557319824,556,42,2.1324045494469557,8.246389964144422,3.348740239943967,1.6821268889728462
8,200,150,199,0.5185125945523468,10.0,149,149,425.762719222,Gurobi,28,0.30092407760183304,153.99651972365183,true,169.4996039872018,156.30723482462065,158.3818660913377,488,10,1.6235348205294393,9.147114861793781,2.3869823902471072,1.238881633828333
8,200,150,199,0.5185125945523468,10.0,100,100,528.498077467,Gurobi,34,0.13549617663516378,162.6295299376933,true,173.03427537017515,164.5934523158192,167.05059845145144,392,8,1.7705613694306481,10.992478210696499,2.3722786079260283,1.2241778515072541
8,200,150,199,0.5185125945523468,10.0,50,50,315.150476962,Gurobi,49,0.06636644321757923,175.884038766352,true,181.0863619505185,177.59711049731104,179.17153865021868,300,0,2.1164489079267828,12.428644672234519,3.6919690074918767,0.7106972565859886
8,200,150,199,5.185125945523468,100.0,398,398,3875.663625468,Gurobi,8,7.843323381772351e97,127.49697434686551,false,168.90964601190373,148.29703936512104,150.21472262447656,594,402,16.870367774160584,28.44120298220857,25.83689237723681,12.578552751551172
