run,p,n,ktrue,lambda,k,time,objval,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
4,200,200,199,0.5311279296875002,50,0.537049953,284.50536367110664,215.20664247322264,219.3670175836358,213.45802796282328,300.0,0.0,2.4966077615838533,16.55293851963282,3.793824875145585,0.9539187530440711
4,200,200,199,0.4492187500000002,100,0.404363759,272.5983957406039,211.60855450349356,211.30525604388322,205.76506825072892,396.0,4.0,2.3749284969683506,15.889022236387014,3.4716560357984685,0.9170050891476055
4,200,200,199,0.3730468750000001,149,0.505498091,260.10614541235793,206.22858192223103,201.569897838371,196.43099345915812,494.0,4.0,2.2324491654640197,14.993118311990393,3.2171629948404386,0.8787247887024588
4,200,200,199,0.2714843750000001,199,0.729266348,239.84999265706415,194.3835866550399,184.96886963709474,180.58709502330177,578.0,18.0,1.985546216705041,13.232411604276797,2.765621504692713,0.8205497084560712
4,200,200,199,0.2086181640625001,249,0.746080535,224.17761481074078,187.05354257759564,173.43575346892496,169.61447020604223,594.0,100.0,1.7628539112770296,11.832685596565353,2.355675016244683,0.8759828550724829
4,200,200,199,0.1923828125000001,298,0.765486621,219.51639550970495,187.3889627669862,170.26075888677894,166.6693991907054,594.0,192.0,1.6949446075990058,11.465341798224333,2.2314908063352616,1.1481726990627943
4,200,200,199,0.18273925781250006,348,0.969852915,216.62197573897902,188.81282356297154,168.47283658747412,164.9281629818306,596.0,278.0,1.6348751084925175,11.229663105398442,2.2992753118903213,1.2636958200834487
4,200,200,199,0.17431640625000006,398,0.869066303,213.94779630318672,190.84514365890277,166.83463789653294,163.38300657244773,596.0,380.0,1.5900684764678716,11.022299178836468,2.514062762948274,1.3607776424520088
