run,p,n,ktrue,lambda,k,time,objval,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
2,200,100,199,0.5468750000000002,50,0.361456652,286.5370539754897,219.42097615691173,212.4178561276721,217.49321283424803,294.0,6.0,2.831303659532508,17.9592489102806,4.56593138360607,1.072974558992707
2,200,100,199,0.4296875000000002,100,0.307009237,269.1464858738618,215.4213825612312,201.8461026707827,206.5649088822382,374.0,26.0,2.6148071974480036,16.982919574195922,4.023744596332382,1.0199856535447853
2,200,100,199,0.3659973144531251,149,0.74173123,258.2755520045321,215.02663904181426,194.9538856911972,199.4078577557316,448.0,50.0,2.4809545727764784,16.269585785431374,3.9244842169398173,0.9873733445516544
2,200,100,199,0.3144531250000001,199,0.540188561,248.33342787450897,214.7130378468869,188.37867907643937,192.4857777235539,498.0,98.0,2.3295549279216106,15.51768366175269,3.8113589569674797,0.9586665457248127
2,200,100,199,0.2866210937500001,249,0.647427546,242.454644488494,217.57647788546674,184.5909897718448,188.5696030217325,526.0,170.0,2.255855699732415,15.054108897930636,3.740932171683432,0.942209603939327
2,200,100,199,0.2700195312500001,298,0.708761879,238.69613553217144,221.84120039633243,182.27061834112118,186.1717306641064,534.0,260.0,2.212430324149195,14.761892551830622,3.699622520134764,0.932049739867196
2,200,100,199,0.2539062500000001,348,0.682493652,234.86799534800886,225.76543024279653,180.00669501813465,183.76161229867654,542.0,348.0,2.179571958375378,14.455070673325434,3.6369647764527797,0.9219314172953597
2,200,100,199,0.2448730468750001,398,0.862846634,232.56129969702656,230.8769579004818,178.62491527861056,182.37138093882422,548.0,438.0,2.1236885316727947,14.275915307518535,3.615244932699837,0.9161444417782006
