run,p,n,ktrue,lambda,k,time,objval,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
8,200,600,199,0.5449218750000002,50,0.49881236,286.26419798879726,212.98996584377983,213.28030723475595,212.372508971408,300.0,0.0,2.642418882006162,17.601651464706098,4.258748558202555,1.0446870858736683
8,200,600,199,0.4218750000000002,100,0.203297734,268.0471065613997,202.80664135112355,201.53926062284546,200.85445536575878,400.0,0.0,2.4371923357097844,16.554261047956143,3.6783570719494363,0.9886723041951696
8,200,600,199,0.3593750000000001,149,0.403589371,257.34930155283587,196.44239638632524,193.7404325028555,193.2046571159355,496.0,2.0,2.2817229886312913,15.788805436776094,3.3665695383693937,0.9563368235838269
8,200,600,199,0.2578125000000001,199,0.552996304,236.47821104909048,181.8372083352854,177.56053657692192,177.28783451994363,594.0,4.0,1.9508929040271272,13.955219580401737,2.6409248014492888,0.8969379515912519
8,200,600,199,0.12457275390625006,249,0.995166866,197.49046256674362,159.26827964459343,153.74493005783881,153.85833725016226,598.0,92.0,2.661091676901422,11.363813953520475,4.343234913746554,2.175887417287951
8,200,600,199,0.11328125000000006,298,0.875143792,193.1929037422893,158.5393423957437,151.79873945096978,151.95124011594814,598.0,192.0,3.044451138969076,11.299018767582359,4.9213225931687665,2.4772001172679254
8,200,600,199,0.10736083984375006,348,1.000929018,190.85260780801391,158.64335251404987,150.77073702266622,150.98063904265013,598.0,280.0,3.260593841574495,11.289193282243243,5.404322203485068,2.690522161950827
8,200,600,199,0.10266113281250006,398,1.088897659,188.97200327107964,158.8661789928544,149.9868705896765,150.23614705644098,598.0,362.0,3.4546457941928352,11.32576970441287,5.694410740885696,2.8434099387472496
