run,p,n,ktrue,lambda,k,time,objval,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
8,200,600,199,0.6586914062500002,50,0.223116887,301.00081217714353,220.95128706664795,221.28927410702346,220.3076840053498,262.0,38.0,2.799430502279699,18.278391319028778,4.576942363321442,1.089084109052073
8,200,600,199,0.5527343750000002,100,0.229487988,287.1989369104671,213.9510502225381,212.7801425345594,211.94793990911393,294.0,106.0,2.6928197018349045,17.675599371751133,4.287263400863985,1.0479438502591685
8,200,600,199,0.5003662109375002,149,0.377182101,279.76235716235027,210.56351331455332,207.94117172982595,207.21257957853908,338.0,160.0,2.625440631234125,17.314667002910674,4.079533337834087,1.025465061515142
8,200,600,199,0.4453125000000002,199,0.396915705,271.35657448633566,206.16100369019142,202.04825692458473,201.45616500611646,374.0,224.0,2.526111697937826,16.854475301004193,3.817627021042448,1.0000771155999812
8,200,600,199,0.4067382812500002,249,0.688088739,265.02499968254835,203.09913773540558,197.50390838793686,197.0253826998,426.0,272.0,2.441478444413652,16.47465828945378,3.7333746826815895,0.9811047242568851
8,200,600,199,0.3808593750000002,298,0.551084064,260.5298403783087,201.1710613735978,194.149708354123,193.75593097980072,460.0,336.0,2.3776731584708326,16.18080473338015,3.7132838894771507,0.9677823031071487
8,200,600,199,0.3544921875000001,348,0.799477966,255.70791175410946,198.9230490753503,190.46184615496458,190.14277449997482,510.0,386.0,2.3050190190453916,15.840241073776598,3.667542645448112,0.9536849411616639
8,200,600,199,0.3218231201171876,398,1.632813917,249.33571533299204,195.43844280408746,185.52189626146716,185.30218984084186,558.0,438.0,2.203447006493133,15.351106360502024,3.5768750313860593,0.9354381337458123
