run,p,n,ktrue,lambda,factor,k,keff,time,solver,cuts,gap,objval,binding,EBIC,loglik_val,loglik_test,TF,FF,operatorNorm,frobeniusNorm,L1MatrixNorm,LInfVectorNorm
0,200,50,199,0.0036326315181435843,0.1,398,398,25.069156443,Gurobi,2,0.0,198.395817135142,true,313.8847327424637,220.33152285461347,214.56325121746542,498,498,2.1293484134892524,12.535671824784071,3.5670471052066652,0.5418794215693363
0,200,50,199,0.0036326315181435843,0.1,348,348,17.561406804,Gurobi,3,2.662925641894187e-5,198.5589714139836,true,299.53920265603267,220.48389771910198,214.70127033137913,476,420,2.1292292507033768,12.538865792873922,3.567047509043011,0.5418794215693363
0,200,50,199,0.0036326315181435843,0.1,298,298,14.074449448,Gurobi,4,2.3085992535420985e-5,198.72732441056,true,285.1988963207183,220.62278218347248,214.84567611410455,466,330,2.1289323049373845,12.540320050199337,3.563429313961864,0.5418794215693363
0,200,50,199,0.0036326315181435843,0.1,249,249,11.082485386,Gurobi,5,1.876318088001039e-5,198.90138558506428,true,271.1544743479755,220.84166100963765,215.04420056645802,444,254,2.127983901463134,12.543511690283834,3.5525732190724253,0.5418794215693363
0,200,50,199,0.0036326315181435843,0.1,199,199,8.3127367,Gurobi,6,1.4789547079674392e-5,199.08964265950442,true,256.83407300171996,221.0440494678488,215.26094532361972,408,190,2.128478909955715,12.548729070156924,3.54896839569595,0.5418794215693363
0,200,50,199,0.0036326315181435843,0.1,149,149,6.064060138,Gurobi,7,1.1287770837253852e-5,199.2879078754679,true,242.52370803540148,221.26272985033458,215.4565633414046,372,126,2.1283054867373257,12.553942755480639,3.5417172374434664,0.5418794215693363
0,200,50,199,0.0036326315181435843,0.1,100,100,3.903182636,Gurobi,8,7.29576376734542e-6,199.49837137174745,true,228.51568689290954,221.49591397218921,215.67665940404225,326,74,2.129640375683285,12.560601386477176,3.538233594213574,0.5418794215693366
0,200,50,199,0.0036326315181435843,0.1,50,50,0.523977549,Gurobi,9,2.50577817939579e-5,199.73669597299318,true,214.24534060915795,221.81088559987796,215.94297998432006,296,4,2.129289293302826,12.564944592495975,3.541879421569336,0.5418794215693366
0,200,50,199,0.03632631518143584,1.0,398,398,233.889312535,Gurobi,15,0.0,184.5238662620476,true,300.0127827191465,204.67299425023623,200.18340320578739,488,508,2.0780742839649347,12.141939134708036,3.79024795154931,0.5418794215693363
0,200,50,199,0.03632631518143584,1.0,348,348,304.031038653,Gurobi,110,0.00023915688177078565,186.06489422738696,true,287.04498156888656,206.2893990272392,201.6328806170661,492,404,2.0717201292521428,12.139492153075802,3.7579892799737595,0.5418794215693363
0,200,50,199,0.03632631518143584,1.0,298,298,303.603126538,Gurobi,135,0.00017260021917409052,187.6787800235629,true,274.15019378408215,207.52577022573135,202.83300556858106,462,334,2.075960104342157,12.185726575095028,3.6895944159296814,0.5418794215693363
0,200,50,199,0.03632631518143584,1.0,249,249,114.867217544,Gurobi,153,4.6223847316784195e-5,189.35285075513738,true,261.6058611637941,209.42886865159085,204.71381250902303,448,250,2.0635599534506595,12.20924778244848,3.623094332470867,0.5418794215693363
0,200,50,199,0.03632631518143584,1.0,199,199,77.238790473,Gurobi,163,0.0,191.17947996962516,true,248.92393097734865,211.5280043849011,206.80720122029203,426,172,2.0636845930953425,12.243953864851655,3.5556242394406574,0.5418794215693363
0,200,50,199,0.03632631518143584,1.0,149,149,25.533940697,Gurobi,169,0.0,193.07233126845495,true,236.3081764050465,213.41270909874558,208.56616026450126,376,122,2.0753836423165444,12.319002197360383,3.5213562041825734,0.5418794215693363
0,200,50,199,0.03632631518143584,1.0,100,100,63.783612956,Gurobi,182,0.00013229306069062474,195.11357706245815,true,224.13090342010784,215.70605796407483,210.72241226568346,334,66,2.078964407603831,12.382235954432083,3.504235241979837,0.5418794215693366
0,200,50,199,0.03632631518143584,1.0,50,50,17.172523472,Gurobi,190,7.17238688396904e-5,197.387100475538,true,211.8956444852946,218.6260364252926,213.18317784608226,276,24,2.098898904772146,12.46799149865294,3.541879421569336,0.5418794215693366
0,200,50,199,0.3632631518143584,10.0,398,398,1180.208300394,Gurobi,3,0.4522572821077888,112.67871702444896,true,228.16767799368193,187.25137009559722,185.03918482726027,542,454,1.7168712728018876,9.642629928416898,3.6640697871999484,0.8893263867492931
0,200,50,199,0.3632631518143584,10.0,348,348,866.87002768,Gurobi,7,0.48195448267586083,119.1380769596771,true,220.11825548655344,181.0638189231897,179.46795647953758,536,360,1.617229036274251,9.114897954526034,3.6519555331623517,0.6114431509838436
0,200,50,199,0.3632631518143584,10.0,298,298,482.120262819,Gurobi,10,0.4119994762673699,126.13431660311132,true,212.60595903061517,176.51661260454435,175.23781417722213,526,270,1.3973506899872055,8.740803533901449,2.707553257698231,0.5948932982588455
0,200,50,199,0.3632631518143584,10.0,249,249,427.031805158,Gurobi,15,0.31333895210920115,133.55593741217828,true,205.80905239474032,173.59777251220493,171.80720677870121,512,186,1.4168022780569742,8.539203993008249,2.4990793205803006,0.5418794215693363
0,200,50,199,0.3632631518143584,10.0,199,199,346.417394677,Gurobi,21,0.2377991603517905,142.47152501589687,true,200.21604105766892,171.54595164475245,169.73819422237062,492,106,1.4149782688158787,8.491352010597584,2.7379370583827063,0.5418794215693363
0,200,50,199,0.3632631518143584,10.0,149,149,328.724831965,Gurobi,30,0.15300044585542283,152.32257137838974,true,195.55838551713597,173.45118143163003,170.95497506506524,456,42,1.6423367602175083,8.90079052350458,2.7886169981094096,0.5418794215693363
0,200,50,199,0.3632631518143584,10.0,100,100,316.300307424,Gurobi,46,0.09372767897992396,164.52804881739738,true,193.54542125931857,181.6649496669624,180.7857261878989,384,16,1.6497552517737557,9.987323996688907,2.7871610809346534,0.5418794215693363
0,200,50,199,0.3632631518143584,10.0,50,50,308.299417929,Gurobi,76,0.026769913535657164,179.8557420644981,true,194.36431495455292,196.31428373011306,193.90025958344933,296,4,1.9297782173337312,11.290300555952067,3.541879421569336,0.5418794215693366
0,200,50,199,3.6326315181435844,100.0,398,398,3873.641698102,Gurobi,8,1.1060309838233334e98,90.41338033254684,false,205.9033454597672,186.49446486490785,184.61166340815151,542,454,12.366020733876617,28.322032883567974,19.69620393695178,9.784316335000439
